"iet_name";"iet_istypedby";"isc_name";"isc_version"
IfcDuctSilencer;IfcDuctSilencerType;IFC4X1;"4.1.0.0"
IfcFlowTreatmentDevice;IfcFlowTreatmentDeviceType;IFC4X1;"4.1.0.0"
IfcFooting;IfcFootingType;IFC4X1;"4.1.0.0"
IfcFurniture;IfcFurnitureType;IFC4X1;"4.1.0.0"
IfcHeatExchanger;IfcHeatExchangerType;IFC4X1;"4.1.0.0"
IfcHumidifier;IfcHumidifierType;IFC4X1;"4.1.0.0"
IfcInterceptor;IfcInterceptorType;IFC4X1;"4.1.0.0"
IfcJunctionBox;IfcJunctionBoxType;IFC4X1;"4.1.0.0"
IfcLamp;IfcLampType;IFC4X1;"4.1.0.0"
IfcLightFixture;IfcLightFixtureType;IFC4X1;"4.1.0.0"
IfcPipeFitting;IfcPipeFittingType;IFC4X1;"4.1.0.0"
IfcPipeSegment;IfcPipeSegmentType;IFC4X1;"4.1.0.0"
IfcPlate;IfcPlateType;IFC4X1;"4.1.0.0"
IfcProtectiveDevice;IfcProtectiveDeviceType;IFC4X1;"4.1.0.0"
IfcProtectiveDeviceTrippingUnit;IfcProtectiveDeviceTrippingUnitType;IFC4X1;"4.1.0.0"
IfcPump;IfcPumpType;IFC4X1;"4.1.0.0"
IfcRailing;IfcRailingType;IFC4X1;"4.1.0.0"
IfcRamp;IfcRampType;IFC4X1;"4.1.0.0"
IfcRampFlight;IfcRampFlightType;IFC4X1;"4.1.0.0"
IfcReinforcingBar;IfcReinforcingBarType;IFC4X1;"4.1.0.0"
IfcReinforcingMesh;IfcReinforcingMeshType;IFC4X1;"4.1.0.0"
IfcSanitaryTerminal;IfcSanitaryTerminalType;IFC4X1;"4.1.0.0"
IfcSensor;IfcSensorType;IFC4X1;"4.1.0.0"
IfcShadingDevice;IfcShadingDeviceType;IFC4X1;"4.1.0.0"
IfcSlab;IfcSlabType;IFC4X1;"4.1.0.0"
IfcSolarDevice;IfcSolarDeviceType;IFC4X1;"4.1.0.0"
